Gender,Birth and Death Dates,Name means,Popularity index,Area of expertise,Celebration or Feast Day,Role,Good/Evil Rating,Pantheon,Related Gods,Type,Alternative names,Associated with,url,Area or people,Pronunciation,Name,In charge of 
Male,,,2963,Creation,Unknown at present,unspecified,Unknown at present,Siberian pantheon,set(),God,['unspecified'],,https://www.godchecker.com/siberian-mythology/OTSHIRVANI/,Siberia,Coming soon,Otshirvani,Creating
Male,,,4117,Crossroads,Unknown at present,unspecified,"BAD, best avoided",Vodou pantheon,"{'Legba (2)', 'Ghede'}",God,"['Kalfou', 'Kalfu', 'Mait Carrefour', 'Maitre Carrefour']",,https://www.godchecker.com/vodou-mythology/MAITRE-CARREFOUR/,Haiti,Coming soon,Maître Carrefour,Crossroads
Female,,,2959,Wisdom,Unknown at present,unspecified,"NEUTRAL, may not care",Roman pantheon,"{'Athena', 'Menrva'}",Goddess,['Minerva-Medica'],,https://www.godchecker.com/roman-mythology/MINERVA/,,Coming soon,Minerva,Wisdom
Female,,,3111,Music,Unknown at present,🎵,"NEUTRAL, may not care",Greek pantheon,{'Muses'},Goddess,['Polymnia'],,https://www.godchecker.com/greek-mythology/POLYHYMNIA/,,Coming soon,Polyhymnia,Music
Male,200-258,,773,,September 16th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Cornelius Of Carthage'],,https://www.godchecker.com/christian-mythology/POPE-SAINT-CORNELIUS/,,Coming soon,Pope Cornelius,
Female,,,3126,"Corn, Maize",Unknown at present,🌽,"GOOD, quite approachable",Aztec pantheon,"{'Cinteotl', 'Ilamatecuhtli'}",Goddess,"['Chicomeccatl', 'Chicomecoatl', 'Xilonen']",,https://www.godchecker.com/aztec-mythology/CHALCHIUHCIHUATL/,,Coming soon,Chalchiuhcihuatl,Corn/Maize
Male,,,2735,Blacksmithing,Unknown at present,unspecified,Unknown at present,Slavic pantheon,{'Svarogich'},God,['Svarizic'],,https://www.godchecker.com/slavic-mythology/SVAROG/,,Coming soon,Svarog,Blacksmiths
Male,673-735,,2015,,May 26th,Unknown at present,Unknown at present,Christian pantheon,"{'Rheda', 'Eostre'}",Saint,['Venerable Bede'],,https://www.godchecker.com/christian-mythology/SAINT-BEDE/,,Coming soon,Bede,
Male,,,3405,Dawn,Unknown at present,unspecified,"OKAY, not bad",Aztec pantheon,"{'Itztlacoliuhqui', 'Tonatiuh', 'Quetzalcoatl'}",God,"['Tlahuixcalpantec', 'Tlahuixcalpantecuhtli', 'Tlahuizcalpantecutli']",Venus,https://www.godchecker.com/aztec-mythology/TLAHUIZCALPANTECUHTLI/,,Coming soon,Tlahuizcalpantecuhtli,Dawn
Male,,,1626,,Unknown at present,Unknown at present,"GOOD, quite approachable",Hindu pantheon,"{'Rama', 'Rig-Veda', 'Mitra', 'Ravana', 'Brahma', 'Varuna'}",legendary mortal,"['Agastyar', 'Agathiar']",,https://www.godchecker.com/hindu-mythology/AGASTYA/,,Coming soon,Agastya,
Male,,,3110,,Unknown at present,Unknown at present,"GOOD, quite approachable",Aztec pantheon,{'Quetzalcoatl'},fabulous creature,['unspecified'],,https://www.godchecker.com/aztec-mythology/AZCATL/,,Coming soon,Azcatl,
Female,,,6722,Creation,Unknown at present,unspecified,"GOOD, quite approachable",Egyptian pantheon,"{'Geb', 'Nephthys', 'Isis', 'Iah', 'Thoth', 'Ra', 'Osiris', 'Set', 'Tefnut', 'Shu'}",Goddess,['Nuit'],,https://www.godchecker.com/egyptian-mythology/NUT/,,Coming soon,Nut,Creating
Female,,,1518,"Star, Stars",Unknown at present,unspecified,Unknown at present,Polynesian pantheon,"{'Roua', 'Fati'}",Goddess,['Taonouit'],,https://www.godchecker.com/polynesian-mythology/TAONOUI/,Society Islands (Tōtaiete mā) of Polynesia,Coming soon,Taonoui,Stars
Male,,,5243,Weather,Unknown at present,unspecified,Unknown at present,Inuit pantheon,set(),God,['unspecified'],,https://www.godchecker.com/inuit-mythology/ALIGNAK/,Inuit,Coming soon,Alignak,Weather
Female,1474-1540,,891,,January 27th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-ANGELA-MERICI/,,Coming soon,Angela Merici,
Male,,,2686,Weather,Unknown at present,unspecified,Unknown at present,Hopi pantheon,"{'Aholi', 'Kachinas'}",Spirit,['unspecified'],,https://www.godchecker.com/hopi-mythology/EOTOTO/,"Pueblo (Hopi), Pikya",Coming soon,Eototo,Weather
Female,,,3258,Earth,Unknown at present,unspecified,Unknown at present,Inca pantheon,{'Pachacamac'},Goddess,"['Lady Earth', 'Mama-Pach', 'Mamaquilla', 'Mother Earth', 'Pachamama']",,https://www.godchecker.com/inca-mythology/MAMA-PACHA/,Chincha people of Peru,Coming soon,Mama Pacha,the Earth
"Sorry, we don't know",,,3558,,Unknown at present,Unknown at present,Unknown at present,Norse pantheon,{'Nine Worlds'},legendary place,"['Nidavellir', 'Niðavellir', 'Svartalfheimr']",,https://www.godchecker.com/norse-mythology/SVARTALFHEIM/,,Coming soon,Svartalfheim,
Male,,,3998,Lightning,Unknown at present,🌩️,Unknown at present,Inca pantheon,"{'Piguerao', 'Illapa', 'Guamansuri', 'Catequil'}",God,"['Apacatequil', 'Apotequil']",,https://www.godchecker.com/inca-mythology/APOCATEQUIL/,,Coming soon,Apocatequil,Lightning
Male,,,1086,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Hindu pantheon,"{'Sumitrâ', 'Dasharatha', 'Rama', 'Lakshmana'}",God,['Shatrugna'],,https://www.godchecker.com/hindu-mythology/SHATRUGHNA/,,Coming soon,Shatrughna,
Male,,,4468,Food,Unknown at present,unspecified,Unknown at present,South American pantheon,"{'Tovapod', 'Tamendonare', 'Ariconte'}",Spirit,['unspecified'],,https://www.godchecker.com/south-american-mythology/AROTEH/,"Tuparí people of Rio Branco, Rondônia in Brazil",Coming soon,Aroteh,Food
Female,,,1832,,Unknown at present,Unknown at present,Unknown at present,Chinese pantheon,{'Jade Emperor'},legendary mortal,['Chiang-Yuan'],,https://www.godchecker.com/chinese-mythology/JIANG-YUAN/,,Jee-yeng Yoo-arn,Jiang Yuan,
Male,,,5993,,Unknown at present,Unknown at present,Unknown at present,Norse pantheon,"{'Midgard', 'Frost Giants', 'Niflheim', 'Muspellheim', 'Buri', 'Odin', 'Auðumla'}",fabulous creature,['Aurgelmir'],,https://www.godchecker.com/norse-mythology/YMIR/,,Coming soon,Ymir,
Female,,,1654,"Corn, Maize",Unknown at present,🌽,Unknown at present,Native American pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/native-american-mythology/UTSET/,Pueblo Zia (aka Sia),Coming soon,Utset,Corn/Maize
Male,1218-1282,,599,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Thomas De Cantilupe'],,https://www.godchecker.com/christian-mythology/SAINT-THOMAS-OF-HEREFORD/,,Coming soon,Thomas of Hereford,
Male,370-444,,711,,June 27th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-CYRIL-OF-ALEXANDRIA/,,Coming soon,Cyril of Alexandria,
Female,,,1430,Happiness,Unknown at present,unspecified,Unknown at present,Lithuanian pantheon,{'Lakshmi'},Goddess,['unspecified'],,https://www.godchecker.com/lithuanian-mythology/LINKSMINE/,Lithuania,Coming soon,Linksmine,Happiness
Male,,,1791,Healing,Unknown at present,unspecified,"NEUTRAL, may not care",Buddhist pantheon,"{'Yakushi Nyorai', 'Buddhas'}",God,['Bhaisajya-Guru'],,https://www.godchecker.com/buddhist-mythology/BHAISAJYAGURU/,,Coming soon,Bhaisajyaguru,Healing
Male,,,5222,,Unknown at present,Unknown at present,Unknown at present,Greek pantheon,"{'Hermes', 'Chione', 'Odysseus', 'Sisyphus', 'Heracles', 'Anticlea', 'Laertes'}",legendary mortal,['Autolykos'],,https://www.godchecker.com/greek-mythology/AUTOLYCUS/,,Coming soon,Autolycus,
Male,,,1810,"Volcano, Volcanoes",Unknown at present,🌋,"NEUTRAL, may not care",Japanese pantheon,{'Yama-no-Kami'},God,['Oanomochi'],,https://www.godchecker.com/japanese-mythology/O-ANA-MOCHI/,,Coming soon,O-Ana-Mochi,Volcanoes
Female,,,3060,Forests,Unknown at present,unspecified,"NEUTRAL, may not care",Norse pantheon,{'Holda'},Spirits,['Hulder'],,https://www.godchecker.com/norse-mythology/HULDRA/,,Coming soon,Huldra,Forests
Male,350-429,,653,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Honoratus Of Arles'],,https://www.godchecker.com/christian-mythology/SAINT-HONORATUS/,,Coming soon,Honoratus,
Male,,,4032,Sport,Unknown at present,unspecified,"GOOD, quite approachable",Aztec pantheon,"{'Xochipilli', 'Macuiltonaleque'}",God,"['Five Flower', 'Macuil-Xochitl', 'Macuilxòchitl']",,https://www.godchecker.com/aztec-mythology/MACUILXOCHITL/,,Coming soon,Macuilxochitl,Sports and Phys Ed
Female,???-???,,709,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-THAIS/,,Coming soon,Thaïs,
Male,,,2055,"Tutelary, Patronage",Unknown at present,unspecified,Unknown at present,Egyptian pantheon,{'Neith'},God,['unspecified'],,https://www.godchecker.com/egyptian-mythology/TUTU/,,Coming soon,Tutu,Patronage
Male,,,2699,Truth,Unknown at present,unspecified,"NEUTRAL, may not care",Buddhist pantheon,"{'Samantabhadra', 'Bosatsu'}",God,['Fugen-Bosatsu'],,https://www.godchecker.com/buddhist-mythology/FUGEN/,,Coming soon,Fugen,Truth
Male,,,1264,"Sky, Skies",Unknown at present,unspecified,Unknown at present,Micronesian pantheon,{'Solal'},God,['unspecified'],,https://www.godchecker.com/micronesian-mythology/ALUELOP/,"Ifaluk (Caroline Islands, Micronesia)",Coming soon,Aluelop,the Sky
Male,,,11420,"Agriculture, Farming",Unknown at present,unspecified,Unknown at present,Maya pantheon,set(),God,"['God-E', 'Nal', 'Yum-Kax']",,https://www.godchecker.com/maya-mythology/YUM-KAAX/,,Coming soon,Yum Kaax,Agriculture and Farming
Male and female,,,2496,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Hawaiian pantheon,{'Aumakua'},Spirit,['unspecified'],,https://www.godchecker.com/hawaiian-mythology/UNIHIPILI/,Hawaii,Coming soon,Unihipili,
Male,,,1412,War,Unknown at present,unspecified,"OKAY, not bad",Hindu pantheon,"{'Pandavas', 'Kauravas'}",God,['unspecified'],,https://www.godchecker.com/hindu-mythology/BHISHMA/,,Coming soon,Bhîshma,War
Male,???-???,,1107,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,"{'Anne', 'Mary'}",Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-JOACHIM/,,Coming soon,Joachim,
Male,567-650,,670,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-FURSEY/,,Coming soon,Fursey,
Male,,,3125,Sun,Unknown at present,🌞,"NEUTRAL, may not care",Lithuanian pantheon,"{'Saule', 'Ashvins'}",Spirits,"['Asvinia', 'Asviniai']",,https://www.godchecker.com/lithuanian-mythology/ASVIENIAI/,Lithuania,Coming soon,Ašvieniai,the Sun
Male,,,1720,Earth,Unknown at present,unspecified,"NEUTRAL, may not care",Egyptian pantheon,{'Ra'},God,['unspecified'],,https://www.godchecker.com/egyptian-mythology/TEM/,,Coming soon,Tem,the Earth
Male,,,5796,Beer,Unknown at present,unspecified,"NEUTRAL, may not care",Lithuanian pantheon,"{'Ragutiene', 'Raugo Žemėpatis'}",God,"['Raugupatis', 'Ruguczis', 'Rūgutis']",,https://www.godchecker.com/lithuanian-mythology/RAGUTIS/,Lithuania,Coming soon,Ragutis,Beer
Male,,,1865,Death,Unknown at present,unspecified,Unknown at present,Melanesian pantheon,{'Qat'},God,['unspecified'],,https://www.godchecker.com/melanesian-mythology/MARAWA/,"Banks islands, Vanuatu in Melanesia",Coming soon,Marawa,Death
Female,???-306,,947,,December 4th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-BARBARA/,,Coming soon,Barbara,
Male,,,3609,Bears,Unknown at present,unspecified,"NEUTRAL, may not care",Siberian pantheon,set(),God,['God Bear'],,https://www.godchecker.com/siberian-mythology/IRKUIEM/,Kamchatka of Siberia,Coming soon,Irkuiem,Bears
Female,,,3203,"Sea, Seas, Ocean, Oceans",Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Nymphs', 'Pleione', 'Tethys', 'Oceanus', 'Potamoi', 'Neaera'}",Spirits,"['Oceanides', 'Okeanides']",,https://www.godchecker.com/greek-mythology/OCEANIDS/,,Coming soon,Oceanids,the Ocean
"Sorry, we don't know",,,1953,,Unknown at present,Unknown at present,Unknown at present,Chinese pantheon,"{'Dao', 'Eight Immortals'}",legendary place,"['Mount Penglai', ""P'eng-Lai-Shan"", 'Peng-Lai-Shan']",,https://www.godchecker.com/chinese-mythology/PENGLAI-SHAN/,,Pung Luy Sharn,Penglai Shan,
Male,154-230,,667,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Urbanus I'],,https://www.godchecker.com/christian-mythology/POPE-SAINT-URBAN-I/,,Coming soon,Urban I,
Male,,,4777,Hero,Unknown at present,unspecified,"GOOD, quite approachable",Irish pantheon,"{'Benandonner', 'Oisín', 'Salmon of Knowledge'}",legendary mortal,"['Finn Mac Cool', 'Finn Mac Cumail', 'Finn Maccooill', 'Finn Maccool', 'Finn Maccoul', 'Finn Mccool']",,https://www.godchecker.com/irish-mythology/FIONN-MAC-CUMHAILL/,,Coming soon,Fionn mac Cumhaill,Heroics
Female,,,1422,The Dead,Unknown at present,unspecified,"NEUTRAL, may not care",Mesoamerican pantheon,{'Benelaba'},Goddess,['unspecified'],,https://www.godchecker.com/mesoamerican-mythology/BELACHINA/,Mixtec,Coming soon,Belachina,the Dead
Female,,,4614,Fertility,Unknown at present,unspecified,"GOOD, quite approachable",African pantheon,{'Chuku'},Goddess,"['Ale', 'Alla', 'Ane']",,https://www.godchecker.com/african-mythology/ALA/,Igbo people of Nigeria,Coming soon,Ala,Fertility
Male,???-348,,1075,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['Geminian', 'Geminianus Of Modena']",,https://www.godchecker.com/christian-mythology/SAINT-GEMINIANUS/,,Coming soon,Geminianus,
Male,1581-1660,,629,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-VINCENT-DE-PAUL/,,Coming soon,Vincent de Paul,
Male,,,1823,Nature,Unknown at present,unspecified,Unknown at present,Roman pantheon,{'Nymphs'},Spirit,['unspecified'],,https://www.godchecker.com/roman-mythology/NYMPHS-2/,,Coming soon,Nymphs (2),Nature
Female,,,2861,Toilets,Unknown at present,unspecified,"NEUTRAL, may not care",Chinese pantheon,"{'Lady Qi', 'Zigu Shen'}",Goddesses,"[""K'eng San-Kuo"", 'Keng San Guniang', 'Keng San Ku-Niang', 'Keng Sanguo', 'San Gu', 'San-Ku', 'Toilet Ladies']",,https://www.godchecker.com/chinese-mythology/LAVATORY-LADIES/,,Sarn Goo,Lavatory Ladies,Lavatories
Male,,,5767,"River, Rivers, Stream, Streams",Unknown at present,unspecified,Unknown at present,Chinese pantheon,"{""Chang'e"", 'Da Yu'}",God,"['Fengyi', 'He-Bo', 'He-Po', 'Ho-Po', 'Ping-I', 'Ping-Yi']",,https://www.godchecker.com/chinese-mythology/HEBO/,,Huh Bor,Hebo,Rivers
Male,,,2978,Bats,Unknown at present,🦇,"GOOD, quite approachable",Zapotec pantheon,set(),God,"['Batman', 'Dios Murciélago']",,https://www.godchecker.com/zapotec-mythology/PIQUETE-ZINA/,Zapotec,Coming soon,Piquete Ziña,Bats
Male,,,2881,"Supreme, Everything",Unknown at present,unspecified,Unknown at present,Chinese pantheon,"{'Sanqing', 'Dao'}",God,"['Dao-Jun', 'Ling-Bao-Tian-Song', ""Ling-Pao-T'ien-Tsun"", 'Shang-Qing', 'Tian-Shang-Dao-Jun']",,https://www.godchecker.com/chinese-mythology/LINGBAO-TIANZUN/,,Leeng Baow Tee-yen Sorng,Lingbao Tianzun,Everything
Male,,,1189,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Buddhist pantheon,set(),God,['Virupaksha'],,https://www.godchecker.com/buddhist-mythology/VIRUPAKSA/,,Coming soon,Virupaksa,
Male,,,1380,,Unknown at present,Unknown at present,Unknown at present,Greek pantheon,"{'Mopsus', 'Chalchas', 'Heracles'}",legendary mortal,['unspecified'],,https://www.godchecker.com/greek-mythology/CALCHAS/,,Coming soon,Calchas,
Male,,,2173,"Mercury, planet",Unknown at present,unspecified,"OKAY, not bad",Hindu pantheon,"{'Buddha', 'Chandra', 'Tara', 'Brihaspati'}",God,['unspecified'],Mercury,https://www.godchecker.com/hindu-mythology/BUDHA/,,Coming soon,Budha,the planet Mercury
Male,,,3079,Messenger,Unknown at present,unspecified,Unknown at present,Chinese pantheon,"{'Taiyi', 'Gou Mang'}",Spirit,['Ru-Shou'],,https://www.godchecker.com/chinese-mythology/JU-SHOU/,,Joo Sshoh,Ju Shou,Messages
Male,,,6349,War,Unknown at present,unspecified,Unknown at present,Norse pantheon,"{'Grid', 'Thor', 'Fenrir', 'Ragnarok', 'Odin'}",God,"['Víðarr', 'Vithar']",,https://www.godchecker.com/norse-mythology/VIDAR/,,Coming soon,Vidar,War
Male,,,3208,"Cooking, Cuisine",Unknown at present,unspecified,Unknown at present,Japanese pantheon,{'Uke-Mochi'},God,['unspecified'],,https://www.godchecker.com/japanese-mythology/INARI/,,Coming soon,Inari,Cooking
Male,,,2189,Wisdom,Unknown at present,unspecified,Unknown at present,Mesopotamian pantheon,{'Enki'},Gods,['unspecified'],,https://www.godchecker.com/mesopotamian-mythology/ABGAL/,Sumer,Coming soon,Abgal,Wisdom
Male,,,2158,Sun,Unknown at present,🌞,"NEUTRAL, may not care",Lithuanian pantheon,set(),God,"['Kalvaitis', 'Kalvelis', 'Televelis']",,https://www.godchecker.com/lithuanian-mythology/TELIAVELIS/,Lithuania,Coming soon,Teliavelis,the Sun
Male,,,2426,Truth,Unknown at present,unspecified,"NEUTRAL, may not care",Inca pantheon,set(),God,['Rimac'],,https://www.godchecker.com/inca-mythology/RIMAC/,,Coming soon,Rímac,Truth
Male,,,1843,"Judgment, Judgement",Unknown at present,unspecified,"NEUTRAL, may not care",Buddhist pantheon,{'Yama'},God,['unspecified'],,https://www.godchecker.com/buddhist-mythology/YAMA-2/,,Coming soon,Yama (2),Judging
Female,380-420,,752,,March 13th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['Euphrasia Of Constantinople', 'Eupraxia']",,https://www.godchecker.com/christian-mythology/SAINT-EUPHRASIA/,,Coming soon,Euphrasia,
Male,???-303,,850,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Genesius Of Rome'],,https://www.godchecker.com/christian-mythology/SAINT-GENESIUS/,,Coming soon,Genesius,
Male,,,1916,Moon,Unknown at present,🌝,Unknown at present,Latvian pantheon,{'Menuo'},God,"['Mehness', 'Mēness']",,https://www.godchecker.com/latvian-mythology/MENESS/,Latvia,Coming soon,Meness,the Moon
Female,???-???,,790,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,{'Satan'},Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-JUSTINA-OF-ANTIOCH/,,Coming soon,Justina of Antioch,
Female,,,2161,,Unknown at present,Unknown at present,Unknown at present,Gaulish pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/gaulish-mythology/DAMONA/,,Coming soon,Damona,
Male,759-826,,596,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-THEODORE-OF-STUDITES/,,Coming soon,Theodore of Studites,
Male,???-257,,681,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Saturnin Of Toulouse'],,https://www.godchecker.com/christian-mythology/SAINT-SATURNINUS-OF-TOULOUSE/,,Coming soon,Saturninus of Toulouse,
Female,,,10412,Earth,Unknown at present,unspecified,Unknown at present,Yoruba pantheon,"{'Oduduwa', 'Obatala', 'Yemaya', 'Olorun'}",Goddess,['Odua'],,https://www.godchecker.com/yoruba-mythology/ODUDUA/,Yoruba people of Nigeria and Benin,Coming soon,Odudua,the Earth
Male,,,4174,Creation,Unknown at present,unspecified,Unknown at present,Mesopotamian pantheon,"{'Marduk', 'Adapa'}",God,['unspecified'],,https://www.godchecker.com/mesopotamian-mythology/EA/,Babylon,Coming soon,Ea,Creating
Female,,,1316,Fertility,Unknown at present,unspecified,Unknown at present,Etruscan pantheon,{'Cupra'},Goddess,['Ilithyia-Leucothea'],,https://www.godchecker.com/etruscan-mythology/ILYTHYIA-LEUCOTHEA/,,Coming soon,Ilythyia-Leucothea,Fertility
Female,,,4054,Combat,Unknown at present,unspecified,"NOT OKAY, be careful",Irish pantheon,{'Mórrígan'},Goddess,['unspecified'],,https://www.godchecker.com/irish-mythology/FEA/,,Coming soon,Fea,Warriors and Fighting
Male,,,4088,"Supreme, Everything",Unknown at present,unspecified,"NEUTRAL, may not care",African pantheon,set(),God,['unspecified'],,https://www.godchecker.com/african-mythology/SOKO/,Nupe people of Nigeria,Coming soon,Soko,Everything
Male,,,5639,Sun,Unknown at present,🌞,Unknown at present,Inca pantheon,"{'Viracocha', 'Manco Capac'}",God,"['Apu-Punchau', 'Punchau']",,https://www.godchecker.com/inca-mythology/INTI/,,Coming soon,Inti,the Sun
Male,??? -443,,3082,,November 13th,Unknown at present,Unknown at present,Christian pantheon,{'Martin of Tours'},Saint,['Brice Of Tours'],,https://www.godchecker.com/christian-mythology/SAINT-BRICE/,,Coming soon,Brice,
Male,,,5036,Creation,Unknown at present,unspecified,"NEUTRAL, may not care",African pantheon,set(),God,['unspecified'],,https://www.godchecker.com/african-mythology/HUVEANE/,Basotho people of Lesotho,Coming soon,Huveane,Creating
Female,,,1014,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Hindu pantheon,"{'Brahma', 'Apsaras'}",Goddess,['unspecified'],,https://www.godchecker.com/hindu-mythology/TILOTTAMA/,,Coming soon,Tilottama,
Female,,,1771,"River, Rivers, Stream, Streams",Unknown at present,unspecified,"OKAY, not bad",African pantheon,{'Buk'},Goddess,['unspecified'],,https://www.godchecker.com/african-mythology/NYALIEP/,Nuer people of Sudan,Coming soon,Nyaliep,Rivers
"Sorry, we don't know",,,1583,,Unknown at present,Unknown at present,Unknown at present,Chinese pantheon,{'Dao'},information,"['Chih-Zhi', 'Ling-Zhi', 'Reishi']",,https://www.godchecker.com/chinese-mythology/LINGZHI/,,Leeng Jhur,Lingzhi,
Male,1495-1550,,681,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['João De Deus', 'João Duarte Cidade', 'Juan De Dios']",,https://www.godchecker.com/christian-mythology/SAINT-JOHN-OF-GOD/,,Coming soon,John of God,
Male,,,2941,Love,Unknown at present,❤️,"OKAY, not bad",Welsh pantheon,set(),God,"['Mabon Ap Modron', 'Maponos']",,https://www.godchecker.com/welsh-mythology/MABON/,Welsh,Coming soon,Mabon,Love
Female,,,7578,Transformation,Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Helios', 'Odysseus', 'Perseis'}",Goddess,['Kirke'],,https://www.godchecker.com/greek-mythology/CIRCE/,,Coming soon,Circe,Transformation
Male,,,2591,,Unknown at present,Unknown at present,Unknown at present,Welsh pantheon,set(),God,['Beli The Great'],,https://www.godchecker.com/welsh-mythology/BELI-MAWR/,,Coming soon,Beli Mawr,
Male and female,,,2235,Creation,Unknown at present,unspecified,Unknown at present,Melanesian pantheon,"{'Darvi', 'Diwa-Zib'}",Spirits,['unspecified'],,https://www.godchecker.com/melanesian-mythology/DEMAS/,Papua New Guinea,Coming soon,Demas,Creating
Male,,,980,Healing,Unknown at present,unspecified,"OKAY, not bad",Hindu pantheon,"{'Soma', 'Amrita'}",legendary mortal,['unspecified'],,https://www.godchecker.com/hindu-mythology/DHANVANTARI/,,Coming soon,Dhanvantari,Healing
Male,,,2555,Creation,Unknown at present,unspecified,Unknown at present,Polynesian pantheon,{'Oro'},God,"['Ta-Oroa', ""Ta'aroa""]",,https://www.godchecker.com/polynesian-mythology/TA-AROA/,Tahitian people of Tahiti in Polynesia,Coming soon,Ta'aroa,Creating
Male,,,3467,"Trickster, Mischief, Mayhem",Unknown at present,unspecified,"BAD, best avoided",African pantheon,"{'Mebeghe', 'Ninepone', 'None'}",God,['Ekurana'],,https://www.godchecker.com/african-mythology/EVUS/,Babongo and Mitsogo people of Gabon and Fang of Gabon and Cameroon,Coming soon,Evus,Mayhem
Female,,,3574,Protection,Unknown at present,unspecified,Unknown at present,Norse pantheon,set(),Goddess,['Sibilja'],,https://www.godchecker.com/norse-mythology/SIBILJA/,,Coming soon,Síbilja,Protection
Male,,,8188,"Desire, Lust",Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Chaos', 'Uranus', 'Aphrodite', 'Gaia', 'Anteros', 'Cupid', 'Psyche'}",God,"['Erotes', 'Himeros']",,https://www.godchecker.com/greek-mythology/EROS/,,Coming soon,Eros,Desire
Male,,,3073,Healing,Unknown at present,unspecified,"GOOD, quite approachable",Irish pantheon,{'Nuada'},God,['unspecified'],,https://www.godchecker.com/irish-mythology/DIAN-CECHT/,,Coming soon,Dian Cécht,Healing
Male,,,3126,Underworld,Unknown at present,unspecified,"NEUTRAL, may not care",African pantheon,set(),God,['Haiuri'],,https://www.godchecker.com/african-mythology/HAI-URI/,,Coming soon,Hai-uri,the Underworld
Female,,,1876,Food,Unknown at present,unspecified,"OKAY, not bad",Hindu pantheon,set(),Goddess,['Anna Purna'],,https://www.godchecker.com/hindu-mythology/ANNAPURNA/,,Coming soon,Annapurna,Food
Female,???-203,,667,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-PERPETUA-OF-CARTHAGE/,,Coming soon,Perpetua of Carthage,
Male,,,1370,Nature,Unknown at present,unspecified,"NEUTRAL, may not care",Lithuanian pantheon,{'Lauka Mate'},God,['Laukosargas'],,https://www.godchecker.com/lithuanian-mythology/LAUKSARGIS/,Latvia,Coming soon,Lauksargis,Nature
Male,,,1585,"Supreme, Everything",Unknown at present,unspecified,Unknown at present,Melanesian pantheon,set(),God,"['Black Way', 'Fo']",,https://www.godchecker.com/melanesian-mythology/OMA-RUMUFA/,Siane people of Papua New Guinea,Coming soon,Oma Rumufa,Everything
Female,,,3988,"Humor, Humour, Laughter",Unknown at present,😂,Unknown at present,Greek pantheon,"{'Demeter', 'Pan', 'Echo'}",Goddess,['unspecified'],,https://www.godchecker.com/greek-mythology/IAMBE/,,Coming soon,Iambe,Laughter
Male,,,16312,"Trickster, Mischief, Mayhem",Unknown at present,unspecified,"NEUTRAL, may not care",Native American pantheon,"{'Hare', 'Glooskap', 'Chakekenapok', 'Chibiabos', 'Michabo', 'Wabasso', 'Ictinike'}",God,"['Big Rabbit', 'Great Hare', 'Great Rabbit', 'Manabozo', 'Manabush', 'Manibozho', 'Nanabozho', 'Nanabozo', 'Nanabush', 'Wenabozho', 'Winabozho', 'Wisaaka']",,https://www.godchecker.com/native-american-mythology/MANABOZHO/,Algonquin and Ojibwe people of the Anishinaabe group,Coming soon,Manabozho,Mayhem
